state_abbr,state_fips,county_name,is_metro,county_code,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
OH,39,Vinton,0,163,12790,736.00,792.00,973.00,1167.00,1372.00
VA,51,Virginia Beach city,1,810,457900,1492.00,1512.00,1713.00,2376.00,2797.00
FL,12,Volusia,1,127,558520,1205.00,1385.00,1700.00,2241.00,2429.00
IL,17,Wabash,0,185,11321,632.00,698.00,916.00,1274.00,1308.00
IN,18,Wabash,0,169,31032,685.00,729.00,956.00,1146.00,1266.00
MN,27,Wabasha,1,157,21460,872.00,913.00,1001.00,1334.00,1679.00
KS,20,Wabaunsee,1,197,6922,792.00,820.00,1057.00,1392.00,1411.00
MN,27,Wadena,0,159,14108,701.00,783.00,1016.00,1218.00,1345.00
OK,40,Wagoner,1,145,82269,933.00,987.00,1217.00,1602.00,1858.00
WA,53,Wahkiakum,0,069,4476,798.00,1021.00,1137.00,1581.00,1907.00
NC,37,Wake,1,183,1132103,1524.00,1596.00,1750.00,2196.00,2936.00
FL,12,Wakulla,1,129,33732,979.00,1073.00,1199.00,1561.00,1588.00
ME,23,Waldo,0,027,3839,1156.00,1163.00,1438.00,1865.00,2025.00
AL,01,Walker,1,127,64978,644.00,724.00,886.00,1232.00,1481.00
GA,13,Walker,1,295,68065,1211.00,1263.00,1390.00,1734.00,1853.00
TX,48,Walker,0,471,77182,857.00,1097.00,1210.00,1602.00,1780.00
WA,53,Walla Walla,1,071,62150,1074.00,1181.00,1550.00,2118.00,2600.00
KS,20,Wallace,0,199,1489,643.00,758.00,877.00,1220.00,1276.00
TX,48,Waller,1,473,57463,1280.00,1323.00,1573.00,2116.00,2639.00
OR,41,Wallowa,0,063,7439,800.00,942.00,1149.00,1598.00,1928.00
ND,38,Walsh,0,099,10553,676.00,680.00,873.00,1140.00,1464.00
MS,28,Walthall,0,147,13888,776.00,781.00,923.00,1107.00,1222.00
FL,12,Walton,1,131,76618,1058.00,1244.00,1364.00,1897.00,2288.00
GA,13,Walton,1,297,97752,1585.00,1660.00,1820.00,2182.00,2605.00
SD,46,Walworth,0,129,5317,676.00,747.00,980.00,1175.00,1470.00
WI,55,Walworth,0,127,105127,831.00,919.00,1206.00,1517.00,1956.00
IA,19,Wapello,0,179,35292,793.00,814.00,1068.00,1354.00,1468.00
ND,38,Ward,1,101,69532,806.00,960.00,1165.00,1620.00,1954.00
TX,48,Ward,0,475,11347,945.00,963.00,1215.00,1576.00,1788.00
GA,13,Ware,0,299,35917,781.00,786.00,1031.00,1236.00,1617.00
GA,13,Warren,0,301,5197,765.00,770.00,973.00,1283.00,1632.00
