state,state_abbr,state_fips,county_code,msa_code,county_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_3
Alaska,AK,02,066,0200006,Copper River Census Area,5386,7901,11839,15757,9875,12255,15764
Alaska,AK,02,068,0200006,Denali Borough,5176,7593,11377,15141,9489,11777,15148
Alaska,AK,02,070,0200006,Dillingham Census Area,5830,8553,12815,17055,10689,13265,17063
Alaska,AK,02,090,21820,Fairbanks North Star Borough,5176,7593,11377,15141,9489,11777,15148
Alaska,AK,02,100,0200006,Haines Borough,5281,7747,11608,15449,9682,12016,15456
Alaska,AK,02,105,0200006,Hoonah-Angoon Census Area,5340,7833,11736,15620,9789,12149,15627
Alaska,AK,02,110,0200006,Juneau City and Borough,5258,7713,11556,15381,9639,11963,15387
Alaska,AK,02,122,0200006,Kenai Peninsula Borough,5667,8313,12455,16577,10389,12893,16584
Alaska,AK,02,130,0200006,Ketchikan Gateway Borough,5141,7541,11299,15039,9425,11697,15046
Alaska,AK,02,150,0200006,Kodiak Island Borough,5503,8073,12096,16098,10089,12521,16106
Alaska,AK,02,158,0200006,Kusilvak Census Area,5503,8073,12096,16098,10089,12521,16106
Alaska,AK,02,164,0200006,Lake and Peninsula Borough,5503,8073,12096,16098,10089,12521,16106
Alaska,AK,02,170,11260,Matanuska-Susitna Borough,5386,7901,11839,15757,9875,12255,15764
Alaska,AK,02,180,0200006,Nome Census Area,5433,7970,11941,15893,9961,12362,15900
Alaska,AK,02,185,0200006,North Slope Borough,5176,7593,11377,15141,9489,11777,15148
Alaska,AK,02,188,0200006,Northwest Arctic Borough,5176,7593,11377,15141,9489,11777,15148
Alaska,AK,02,195,0200006,Petersburg Borough,5316,7799,11685,15551,9746,12096,15558
Alaska,AK,02,198,0200006,Prince of Wales-Hyder Census Area,5012,7353,11017,14663,9189,11405,14669
Alaska,AK,02,220,0200006,Sitka City and Borough,5316,7799,11685,15551,9746,12096,15558
Alaska,AK,02,230,0200006,Skagway Municipality,5258,7713,11556,15381,9639,11963,15387
Alaska,AK,02,240,0200006,Southeast Fairbanks Census Area,5176,7593,11377,15141,9489,11777,15148
Alaska,AK,02,275,0200006,Wrangell City and Borough,5363,7867,11787,15688,9832,12202,15695
Alaska,AK,02,282,0200006,Yakutat City and Borough,5258,7713,11556,15381,9639,11963,15387
Alaska,AK,02,290,0200006,Yukon-Koyukuk Census Area,5176,7593,11377,15141,9489,11777,15148
Arizona,AZ,04,001,0400001,Apache,4218,6187,9271,12339,7733,9597,12344
Arizona,AZ,04,003,43420,Cochise,3949,5793,8680,11553,7240,8985,11558
Arizona,AZ,04,005,22380,Coconino,4487,6582,9861,13125,8225,10208,13131
Arizona,AZ,04,007,0400001,Gila,4089,5999,8988,11963,7497,9304,11968
Arizona,AZ,04,009,0400001,Graham,3984,5845,8757,11655,7304,9065,11660
Arizona,AZ,04,011,0400001,Greenlee,3984,5845,8757,11655,7304,9065,11660
Arizona,AZ,04,012,0400001,La Paz,4136,6067,9091,12099,7583,9411,12105
Arizona,AZ,04,013,38060,Maricopa,4183,6136,9194,12236,7669,9517,12242
Arizona,AZ,04,015,29420,Mohave,4136,6067,9091,12099,7583,9411,12105
Arizona,AZ,04,017,0400001,Navajo,4066,5965,8937,11894,7454,9251,11900
Arizona,AZ,04,019,46060,Pima,4101,6016,9014,11997,7519,9331,12002
Arizona,AZ,04,021,38060,Pinal,4019,5896,8834,11758,7369,9145,11763
Arizona,AZ,04,023,0400001,Santa Cruz,3435,5039,7550,10049,6298,7816,10053
Arizona,AZ,04,025,39150,Yavapai,4452,6530,9784,13022,8161,10129,13028
Arizona,AZ,04,027,49740,Yuma,3727,5468,8192,10903,6833,8480,10908
Arkansas,AR,05,001,0500004,Arkansas,3692,5416,8115,10801,6769,8401,10805
Arkansas,AR,05,003,0500004,Ashley,3715,5450,8166,10869,6812,8454,10874
Arkansas,AR,05,005,0500001,Baxter,4113,6033,9040,12031,7540,9358,12036
Arkansas,AR,05,007,22220,Benton,4136,6067,9091,12099,7583,9411,12105
Arkansas,AR,05,009,0500001,Boone,4019,5896,8834,11758,7369,9145,11763
