state,state_abbr,state_fips,filing_status,deduction_type,value,tax_year
Oklahoma,OK,40,Married Joint,Personal Exemption,2000,2025
Oklahoma,OK,40,Dependent,Personal Exemption,1000,2025
Oregon,OR,41,Single,Standard Deduction,2910,2025
Oregon,OR,41,Married Joint,Standard Deduction,5820,2025
Oregon,OR,41,Single,Personal Credit,256,2025
Oregon,OR,41,Married Joint,Personal Credit,512,2025
Oregon,OR,41,Dependent,Personal Credit,256,2025
Rhode Island,RI,44,Single,Standard Deduction,11200,2025
Rhode Island,RI,44,Married Joint,Standard Deduction,22400,2025
Rhode Island,RI,44,Single,Personal Exemption,5250,2025
Rhode Island,RI,44,Married Joint,Personal Exemption,10500,2025
Rhode Island,RI,44,Dependent,Personal Exemption,5250,2025
South Carolina,SC,45,Single,Standard Deduction,8350,2025
South Carolina,SC,45,Married Joint,Standard Deduction,16700,2025
South Carolina,SC,45,Dependent,Personal Exemption,4930,2025
Utah,UT,49,Single,Personal Credit,966,2025
Utah,UT,49,Married Joint,Personal Credit,1932,2025
Utah,UT,49,Dependent,Personal Exemption,2111,2025
Vermont,VT,50,Single,Standard Deduction,7650,2025
Vermont,VT,50,Married Joint,Standard Deduction,15300,2025
Vermont,VT,50,Single,Personal Exemption,5300,2025
Vermont,VT,50,Married Joint,Personal Exemption,10600,2025
Vermont,VT,50,Dependent,Personal Exemption,5300,2025
Virginia,VA,51,Single,Standard Deduction,8750,2025
Virginia,VA,51,Married Joint,Standard Deduction,17500,2025
Virginia,VA,51,Single,Personal Exemption,930,2025
Virginia,VA,51,Married Joint,Personal Exemption,1860,2025
Virginia,VA,51,Dependent,Personal Exemption,930,2025
Washington,WA,53,Single,Standard Deduction,278000,2025
Washington,WA,53,Married Joint,Standard Deduction,278000,2025
West Virginia,WV,54,Single,Personal Exemption,2000,2025
West Virginia,WV,54,Married Joint,Personal Exemption,4000,2025
West Virginia,WV,54,Dependent,Personal Exemption,2000,2025
Wisconsin,WI,55,Single,Standard Deduction,13960,2025
Wisconsin,WI,55,Married Joint,Standard Deduction,25840,2025
Wisconsin,WI,55,Single,Personal Exemption,700,2025
Wisconsin,WI,55,Married Joint,Personal Exemption,1400,2025
Wisconsin,WI,55,Dependent,Personal Exemption,700,2025
