state_fips,state,state_abbr,msa_code,metro_name
21,Kentucky,KY,21060,Elizabethtown
21,Kentucky,KY,37140,Paducah
21,Kentucky,KY,36980,Owensboro
21,Kentucky,KY,14540,Bowling Green
21,Kentucky,KY,30460,Lexington-Fayette
22,Louisiana,LA,43640,Slidell-Mandeville-Covington
22,Louisiana,LA,12940,Baton Rouge
22,Louisiana,LA,43340,Shreveport-Bossier City
22,Louisiana,LA,25220,Hammond
22,Louisiana,LA,29180,Lafayette
22,Louisiana,LA,35380,New Orleans-Metairie
22,Louisiana,LA,10780,Alexandria
22,Louisiana,LA,29340,Lake Charles
22,Louisiana,LA,26380,Houma-Bayou Cane-Thibodaux
22,Louisiana,LA,33740,Monroe
23,Maine,ME,12620,Bangor
23,Maine,ME,30340,Lewiston-Auburn
23,Maine,ME,38860,Portland-South Portland
24,Maryland,MD,30500,Lexington Park
24,Maryland,MD,25180,Hagerstown-Martinsburg
24,Maryland,MD,12580,Baltimore-Columbia-Towson
24,Maryland,MD,41540,Salisbury
25,Massachusetts,MA,12700,Barnstable Town
25,Massachusetts,MA,11200,Amherst Town-Northampton
25,Massachusetts,MA,14460,Boston-Cambridge-Newton
25,Massachusetts,MA,44140,Springfield
25,Massachusetts,MA,49340,Worcester
25,Massachusetts,MA,38340,Pittsfield
26,Michigan,MI,24340,Grand Rapids-Wyoming-Kentwood
26,Michigan,MI,13020,Bay City
26,Michigan,MI,33220,Midland
26,Michigan,MI,19820,Detroit-Warren-Dearborn
26,Michigan,MI,35660,Niles
26,Michigan,MI,11460,Ann Arbor
26,Michigan,MI,28020,Kalamazoo-Portage
26,Michigan,MI,45900,Traverse City
26,Michigan,MI,33780,Monroe
26,Michigan,MI,12980,Battle Creek
26,Michigan,MI,29620,Lansing-East Lansing
26,Michigan,MI,34740,Muskegon-Norton Shores
26,Michigan,MI,40980,Saginaw
26,Michigan,MI,22420,Flint
26,Michigan,MI,27100,Jackson
