state,state_abbr,state_fips,county_code,msa_code,county_name
Arkansas,AR,05,061,0500004,Howard
Arkansas,AR,05,063,0500001,Independence
Arkansas,AR,05,065,0500001,Izard
Arkansas,AR,05,067,0500001,Jackson
Arkansas,AR,05,069,0500004,Jefferson
Arkansas,AR,05,071,0500003,Johnson
Arkansas,AR,05,073,0500004,Lafayette
Arkansas,AR,05,075,0500002,Lawrence
Arkansas,AR,05,077,0500002,Lee
Arkansas,AR,05,079,0500004,Lincoln
Arkansas,AR,05,081,45500,Little River
Arkansas,AR,05,083,0500003,Logan
Arkansas,AR,05,085,30780,Lonoke
Arkansas,AR,05,087,22220,Madison
Arkansas,AR,05,089,0500001,Marion
Arkansas,AR,05,091,45500,Miller
Arkansas,AR,05,093,0500002,Mississippi
Arkansas,AR,05,095,0500002,Monroe
Arkansas,AR,05,097,0500003,Montgomery
Arkansas,AR,05,099,0500004,Nevada
Arkansas,AR,05,101,0500001,Newton
Arkansas,AR,05,103,0500004,Ouachita
Arkansas,AR,05,105,30780,Perry
Arkansas,AR,05,107,0500002,Phillips
Arkansas,AR,05,109,0500003,Pike
Arkansas,AR,05,111,27860,Poinsett
Arkansas,AR,05,113,0500003,Polk
Arkansas,AR,05,115,0500003,Pope
Arkansas,AR,05,117,0500002,Prairie
Arkansas,AR,05,119,30780,Pulaski
Arkansas,AR,05,121,0500002,Randolph
Arkansas,AR,05,125,0500002,Saline
Arkansas,AR,05,127,30780,Scott
Arkansas,AR,05,129,0500003,Searcy
Arkansas,AR,05,131,0500001,Sebastian
Arkansas,AR,05,133,22900,Sevier
Arkansas,AR,05,135,0500004,Sharp
Arkansas,AR,05,123,0500001,Saint Francis
Arkansas,AR,05,137,0500001,Stone
Arkansas,AR,05,139,0500004,Union
Arkansas,AR,05,141,0500001,Van Buren
Arkansas,AR,05,143,22220,Washington
Arkansas,AR,05,145,0500001,White
Arkansas,AR,05,147,0500001,Woodruff
Arkansas,AR,05,149,0500003,Yell
California,CA,06,001,41860,Alameda
California,CA,06,003,0600006,Alpine
California,CA,06,005,0600006,Amador
California,CA,06,007,17020,Butte
California,CA,06,009,0600006,Calaveras
California,CA,06,011,0600007,Colusa
California,CA,06,013,41860,Contra Costa
California,CA,06,015,0600003,Del Norte
California,CA,06,017,40900,El Dorado
California,CA,06,019,23420,Fresno
California,CA,06,021,0600007,Glenn
California,CA,06,023,0600003,Humboldt
California,CA,06,025,20940,Imperial
California,CA,06,027,0600006,Inyo
California,CA,06,029,12540,Kern
California,CA,06,031,25260,Kings
California,CA,06,033,0600003,Lake
California,CA,06,035,0600007,Lassen
California,CA,06,037,31080,Los Angeles
California,CA,06,039,23420,Madera
California,CA,06,041,41860,Marin
California,CA,06,043,0600006,Mariposa
California,CA,06,045,0600003,Mendocino
California,CA,06,047,32900,Merced
California,CA,06,049,0600007,Modoc
California,CA,06,051,0600006,Mono
California,CA,06,053,41500,Monterey
California,CA,06,055,34900,Napa
California,CA,06,057,0600007,Nevada
California,CA,06,059,31080,Orange
California,CA,06,061,40900,Placer
California,CA,06,063,0600007,Plumas
California,CA,06,065,40140,Riverside
California,CA,06,067,40900,Sacramento
California,CA,06,069,41940,San Benito
California,CA,06,071,40140,San Bernardino
California,CA,06,073,41740,San Diego
California,CA,06,075,41860,San Francisco
California,CA,06,077,44700,San Joaquin
California,CA,06,079,42020,San Luis Obispo
California,CA,06,081,41860,San Mateo
California,CA,06,083,42200,Santa Barbara
California,CA,06,085,41940,Santa Clara
California,CA,06,087,42100,Santa Cruz
California,CA,06,089,39820,Shasta
California,CA,06,091,0600007,Sierra
California,CA,06,093,0600007,Siskiyou
California,CA,06,095,46700,Solano
California,CA,06,097,42220,Sonoma
California,CA,06,099,33700,Stanislaus
California,CA,06,101,49700,Sutter
California,CA,06,103,0600007,Tehama
California,CA,06,105,0600007,Trinity
California,CA,06,107,47300,Tulare
California,CA,06,109,0600006,Tuolumne
California,CA,06,111,37100,Ventura
California,CA,06,113,40900,Yolo
California,CA,06,115,49700,Yuba
Colorado,CO,08,001,19740,Adams
Colorado,CO,08,003,0800001,Alamosa
Colorado,CO,08,005,19740,Arapahoe
Colorado,CO,08,007,0800002,Archuleta
Colorado,CO,08,009,0800001,Baca
Colorado,CO,08,011,0800001,Bent
Colorado,CO,08,013,14500,Boulder
Colorado,CO,08,014,19740,Broomfield
Colorado,CO,08,015,0800002,Chaffee
Colorado,CO,08,017,0800001,Cheyenne
Colorado,CO,08,019,19740,Clear Creek
Colorado,CO,08,021,0800001,Conejos
Colorado,CO,08,023,0800001,Costilla
Colorado,CO,08,025,0800001,Crowley
Colorado,CO,08,027,0800001,Custer
Colorado,CO,08,029,0800002,Delta
Colorado,CO,08,031,19740,Denver
Colorado,CO,08,033,0800002,Dolores
Colorado,CO,08,035,19740,Douglas
Colorado,CO,08,037,0800003,Eagle
Colorado,CO,08,039,19740,Elbert
Colorado,CO,08,041,17820,El Paso
Colorado,CO,08,043,0800002,Fremont
Colorado,CO,08,045,0800003,Garfield
Colorado,CO,08,047,19740,Gilpin
Colorado,CO,08,049,0800003,Grand
Colorado,CO,08,051,0800002,Gunnison
Colorado,CO,08,053,0800002,Hinsdale
Colorado,CO,08,055,0800001,Huerfano
Colorado,CO,08,057,0800003,Jackson
Colorado,CO,08,059,19740,Jefferson
Colorado,CO,08,061,0800001,Kiowa
Colorado,CO,08,063,0800001,Kit Carson
Colorado,CO,08,065,0800003,Lake
Colorado,CO,08,067,0800002,La Plata
Colorado,CO,08,069,22660,Larimer
Colorado,CO,08,071,0800001,Las Animas
Colorado,CO,08,073,0800001,Lincoln
Colorado,CO,08,075,0800001,Logan
Colorado,CO,08,077,24300,Mesa
Colorado,CO,08,079,0800001,Mineral
Colorado,CO,08,081,0800003,Moffat
Colorado,CO,08,083,0800002,Montezuma
Colorado,CO,08,085,0800002,Montrose
Colorado,CO,08,087,0800001,Morgan
Colorado,CO,08,089,0800001,Otero
Colorado,CO,08,091,0800002,Ouray
Colorado,CO,08,093,19740,Park
Colorado,CO,08,095,0800001,Phillips
Colorado,CO,08,097,0800003,Pitkin
Colorado,CO,08,099,0800001,Prowers
Colorado,CO,08,101,39380,Pueblo
Colorado,CO,08,103,0800003,Rio Blanco
Colorado,CO,08,105,0800001,Rio Grande
Colorado,CO,08,107,0800003,Routt
Colorado,CO,08,109,0800001,Saguache
Colorado,CO,08,111,0800002,San Juan
Colorado,CO,08,113,0800002,San Miguel
Colorado,CO,08,115,0800001,Sedgwick
Colorado,CO,08,117,0800003,Summit
Colorado,CO,08,119,17820,Teller
Colorado,CO,08,121,0800001,Washington
Colorado,CO,08,123,24540,Weld
Colorado,CO,08,125,0800001,Yuma
Connecticut,CT,09,110,25540,Capitol Planning Region
Connecticut,CT,09,120,14860,Greater Bridgeport Planning Region
Connecticut,CT,09,130,25540,Lower Connecticut River Valley Planning Region
Connecticut,CT,09,140,47930,Naugatuck Valley Planning Region
Connecticut,CT,09,150,0900001,Northeastern Connecticut Planning Region
Connecticut,CT,09,160,0900001,Northwest Hills Planning Region
Connecticut,CT,09,170,35300,South Central Connecticut Planning Region
Connecticut,CT,09,180,35980,Southeastern Connecticut Planning Region
Connecticut,CT,09,190,14860,Western Connecticut Planning Region
Delaware,DE,10,001,20100,Kent
