region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
394358,Baltimore,24,MD,2161.57,2173.19,2190.46,2199.08,2213.98,2221.29,2233.02,2240.63,2246.98,2251.94,2260.22,2266.97,2276.95,2277.69,2285.94,2288.66,2305.03,2308.20,2326.93,2331.09,2340.93,2331.51,2335.00,2344.58,2361.72,2360.33,2356.66
395121,Saint Louis,29,MO,1406.55,1417.69,1432.87,1450.45,1463.28,1475.60,1478.40,1483.45,1482.02,1486.38,1494.47,1498.39,1505.05,1503.85,1515.10,1529.00,1541.26,1546.62,1547.79,1561.56,1564.29,1563.06,1556.14,1562.23,1573.11,1576.61,1582.97
394943,Orlando,12,FL,2311.35,2317.23,2334.40,2345.27,2355.80,2360.99,2367.71,2365.48,2364.31,2359.33,2362.99,2359.62,2366.14,2372.25,2381.29,2382.91,2387.46,2399.04,2403.90,2408.15,2406.55,2405.80,2402.07,2393.62,2396.84,2394.04,2402.56
394458,Charlotte,37,NC,1979.86,1993.75,2006.92,2017.37,2027.81,2036.13,2039.01,2039.63,2035.17,2031.85,2035.52,2038.71,2045.47,2054.48,2069.77,2085.81,2097.19,2107.61,2110.99,2110.44,2108.57,2101.97,2106.96,2102.01,2105.95,2105.51,2118.80
395055,San Antonio,48,TX,1788.49,1794.20,1807.71,1815.54,1820.25,1822.52,1826.99,1827.93,1821.64,1813.62,1808.65,1812.47,1813.19,1816.98,1820.41,1828.49,1835.82,1837.33,1840.65,1838.48,1838.77,1833.23,1828.27,1822.10,1825.75,1831.15,1840.89
394998,Portland,41,OR,2440.30,2453.66,2478.57,2498.45,2517.25,2530.96,2545.75,2551.71,2549.19,2541.66,2534.75,2534.07,2536.21,2547.64,2560.68,2570.58,2582.90,2589.87,2599.01,2613.40,2618.02,2611.24,2586.10,2568.25,2568.94,2578.34,2596.24
395045,Sacramento,06,CA,2604.00,2619.47,2632.04,2644.91,2656.13,2669.22,2682.43,2700.23,2701.13,2692.50,2687.25,2685.39,2693.20,2690.85,2704.80,2726.58,2742.27,2756.48,2754.84,2766.55,2757.37,2764.89,2756.93,2763.70,2755.04,2761.79,2768.24
394982,Pittsburgh,42,PA,1527.49,1539.16,1537.59,1540.60,1550.48,1560.60,1563.90,1564.15,1566.89,1569.81,1572.22,1579.65,1588.86,1596.50,1600.35,1613.34,1623.27,1637.20,1643.41,1653.50,1654.10,1649.58,1649.76,1656.01,1666.09,1666.14,1671.84
394466,Cincinnati,39,OH,1818.69,1828.51,1842.42,1857.61,1874.80,1894.38,1905.49,1911.81,1905.67,1904.53,1909.64,1914.00,1924.06,1927.91,1940.62,1947.21,1964.14,1971.51,1986.44,1987.06,1993.95,1990.81,1989.59,1983.44,1990.87,2012.71,2035.85
394355,Austin,48,TX,2230.56,2241.33,2255.55,2263.55,2267.14,2266.89,2266.00,2254.83,2240.18,2219.79,2212.75,2218.89,2224.70,2234.20,2237.99,2249.41,2259.64,2265.29,2263.94,2253.24,2241.64,2235.30,2228.38,2225.54,2220.59,2228.28,2239.92
394775,Las Vegas,32,NV,2123.44,2131.36,2151.19,2162.42,2178.62,2186.95,2195.47,2199.13,2195.85,2187.81,2181.92,2177.58,2188.01,2196.91,2208.82,2211.75,2216.96,2220.50,2219.06,2219.70,2212.38,2212.39,2202.51,2198.55,2199.39,2211.56,2225.18
394735,Kansas City,29,MO,1577.27,1588.90,1599.96,1610.78,1622.47,1630.68,1640.59,1646.43,1649.98,1649.00,1649.10,1649.54,1662.65,1668.71,1684.24,1694.08,1712.51,1724.13,1729.04,1734.73,1736.07,1739.74,1733.33,1732.73,1735.20,1746.92,1759.05
394492,Columbus,39,OH,1851.74,1870.48,1888.68,1902.20,1911.13,1923.06,1939.27,1948.30,1951.35,1947.80,1949.06,1951.26,1956.93,1966.72,1977.65,1989.87,2003.35,2012.96,2020.40,2023.52,2026.41,2027.52,2026.42,2025.61,2031.72,2034.16,2049.92
394705,Indianapolis,18,IN,1673.06,1689.92,1702.19,1717.26,1730.48,1740.35,1756.36,1760.32,1762.94,1753.93,1754.19,1760.99,1774.08,1790.28,1803.65,1817.87,1834.42,1850.38,1860.31,1862.49,1857.06,1852.58,1849.26,1850.17,1854.66,1865.23,1880.65
394475,Cleveland,39,OH,1470.09,1485.38,1497.57,1509.97,1518.26,1530.08,1545.72,1554.40,1556.95,1554.99,1560.61,1570.18,1583.96,1597.87,1607.52,1619.40,1619.35,1618.17,1621.19,1625.32,1640.78,1648.20,1658.13,1663.65,1673.13,1681.62,1687.64
395059,San Jose,06,CA,4043.21,4080.15,4118.03,4152.00,4192.23,4224.16,4257.61,4261.42,4259.68,4253.77,4230.66,4218.93,4218.63,4249.23,4273.07,4305.78,4340.50,4376.04,4406.90,4419.44,4421.54,4410.12,4417.12,4411.06,4410.10,4433.22,4462.34
