region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
395103,Sioux Falls,46,SD,1240.35,1238.61,1241.93,1247.63,1254.95,1262.12,1272.08,1271.65,1264.89,1263.75,1263.68,1267.00,1260.24,1262.99,1258.60,1267.12,1266.98,1272.80,1278.52,1286.59,1291.47,1286.83,1282.01,1280.29,1289.59,1302.82,1314.89
395065,Santa Cruz,06,CA,3149.75,3185.10,3212.31,3246.60,3270.40,3300.32,3317.27,3334.21,3337.77,3296.56,3285.26,3282.17,3319.72,3313.88,3296.89,3310.46,3343.71,3369.26,3356.02,3341.52,3319.43,3338.73,3335.10,3363.26,3362.40,3372.48,3365.72
394572,Erie,42,PA,960.03,959.68,975.18,973.95,985.36,994.46,999.31,1017.76,1019.56,1021.19,1025.74,1010.71,1029.21,1030.61,1054.08,1052.43,1053.91,1063.59,1066.26,1088.13,1088.53,1099.34,1083.52,1076.91,1069.72,1066.36,1080.46
394924,Norwich,09,CT,1676.91,1697.42,1721.39,1745.73,1763.67,1773.98,1787.02,1780.36,1784.70,1794.82,1806.17,1805.22,1798.12,1807.60,1828.01,1835.90,1832.84,1822.91,1839.60,1849.40,1864.63,1858.20,1849.86,1838.27,1846.30,1852.70,1883.37
394323,Amarillo,48,TX,1200.21,1193.06,1191.02,1195.20,1207.17,1215.86,1223.71,1226.19,1228.99,1229.06,1229.30,1224.21,1226.41,1233.52,1248.19,1256.30,1259.84,1253.76,1255.19,1253.43,1251.04,1254.71,1267.59,1289.76,1286.52,1296.64,1299.30
394772,Laredo,48,TX,1269.65,1288.67,,1282.54,1278.84,1278.29,1288.99,1295.47,1312.23,1310.58,1309.30,1292.22,1292.26,1313.18,1352.04,1373.92,1372.68,1352.60,1339.34,1327.44,1322.01,1309.75,1308.25,1302.58,1312.27,1319.20,1329.88
395171,Tuscaloosa,01,AL,1365.96,1368.38,1380.86,1388.49,1396.35,1400.53,1415.89,1420.37,1433.09,1432.08,1436.22,1441.52,1438.78,1448.82,1447.41,1460.23,1470.46,1467.24,1467.04,1476.50,1502.53,1534.09,1535.36,1527.97,1517.51,1511.76,1518.41
394483,College Station,48,TX,1453.65,1459.78,1458.51,1458.65,1463.30,1461.85,1474.12,1482.10,1508.60,1522.28,1528.17,1518.14,1518.79,1520.35,1521.66,1516.12,1510.86,1516.05,1520.93,1547.37,1583.63,1606.09,1600.76,1582.63,1572.78,1567.88,1562.67
394732,Kalamazoo,26,MI,1186.69,1192.14,1210.45,1217.63,1228.79,1233.11,1238.71,1239.58,1244.44,1253.78,1258.34,1258.61,1260.81,1268.33,1273.01,1277.51,1277.90,1280.98,1288.23,1289.22,1294.85,1291.43,1293.22,1288.23,1286.15,1296.18,1303.83
394811,Lynchburg,51,VA,1226.80,1237.56,1249.69,1242.30,1235.90,1227.06,1228.03,1232.81,1235.94,1236.62,1250.03,1259.99,1267.33,1265.72,1265.46,1279.16,1269.67,1270.68,1258.85,1272.44,1272.27,1285.18,1283.35,1288.09,1296.76,1306.03,1314.39
