state,state_abbr,state_fips,msa_code,metro_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_2,adults_2_children_3
Florida,FL,12,35840,North Port-Bradenton-Sarasota,4840,7100,10638,14159,8874,11013,14165,17283
Florida,FL,12,45220,Tallahassee,4486,6581,9861,13124,8225,10208,13130,16020
Florida,FL,12,23540,Gainesville,4591,6735,10091,13430,8417,10446,13436,16393
Florida,FL,12,48680,Wildwood-The Villages,4674,6856,10272,13672,8568,10634,13678,16688
Florida,FL,12,38940,Port Saint Lucie,4565,6696,10033,13353,8368,10386,13359,16299
Florida,FL,12,29460,Lakeland-Winter Haven,4300,6307,9450,12578,7883,9783,12584,15353
Florida,FL,12,15980,Cape Coral-Fort Myers,4603,6753,10118,13467,8440,10474,13473,16438
Florida,FL,12,26140,Homosassa Springs,4393,6445,9656,12851,8054,9996,12857,15687
Florida,FL,12,36100,Ocala,4300,6307,9450,12578,7883,9783,12584,15353
Florida,FL,12,37460,Panama City-Panama City Beach,4330,6351,9516,12665,7938,9851,12671,15460
Florida,FL,12,42680,Sebastian-Vero Beach-West Vero Corridor,4697,6890,10324,13740,8611,10687,13746,16771
Florida,FL,12,34940,Naples-Marco Island,4977,7302,10940,14560,9125,11325,14567,17773
Florida,FL,12,33100,Miami-Fort Lauderdale-West Palm Beach,4832,7089,10621,14136,8859,10995,14142,17255
Florida,FL,12,37860,Pensacola-Ferry Pass-Brent,4385,6433,9639,12828,8040,9978,12834,15659
Florida,FL,12,27260,Jacksonville,4522,6634,9940,13229,8291,10289,13235,16148
Florida,FL,12,19660,Deltona-Daytona Beach-Ormond Beach,4530,6645,9956,13251,8305,10307,13257,16175
Florida,FL,12,36740,Orlando-Kissimmee-Sanford,4511,6617,9914,13195,8269,10263,13201,16106
Florida,FL,12,37340,Palm Bay-Melbourne-Titusville,4545,6667,9990,13296,8333,10341,13302,16229
Florida,FL,12,42700,Sebring,4276,6273,9399,12510,7840,9730,12515,15269
Florida,FL,12,45300,Tampa-Saint Petersburg-Clearwater,4565,6697,10034,13354,8369,10387,13360,16301
Florida,FL,12,39460,Punta Gorda,4545,6667,9990,13296,8333,10341,13302,16229
Georgia,GA,13,23580,Gainesville,4393,6445,9656,12851,8054,9996,12857,15687
Georgia,GA,13,47580,Warner Robins,4293,6298,9436,12559,7871,9768,12565,15330
Georgia,GA,13,40660,Rome,4101,6016,9014,11997,7519,9331,12002,14644
Georgia,GA,13,12060,Atlanta-Sandy Springs-Roswell,4581,6719,10068,13400,8398,10422,13406,16356
Georgia,GA,13,31420,Macon-Bibb County,4143,6077,9105,12118,7595,9425,12124,14792
Georgia,GA,13,12020,Athens-Clarke County,4507,6611,9906,13184,8262,10254,13189,16092
Georgia,GA,13,46660,Valdosta,4253,6239,9348,12441,7797,9677,12447,15186
Georgia,GA,13,12260,Augusta-Richmond County,4137,6069,9093,12102,7585,9413,12108,14772
Georgia,GA,13,25980,Hinesville,3939,5778,8657,11522,7221,8961,11527,14064
Georgia,GA,13,17980,Columbus,4436,6507,9749,12976,8132,10092,12982,15839
Georgia,GA,13,42340,Savannah,4461,6544,9806,13050,8179,10151,13056,15930
Georgia,GA,13,19140,Dalton,3984,5844,8756,11654,7304,9065,11659,14225
Georgia,GA,13,10500,Albany,4131,6060,9080,12085,7574,9399,12090,14751
Georgia,GA,13,15260,Brunswick-Saint Simons,4462,6545,9806,13052,8180,10151,13058,15931
Hawaii,HI,15,46520,Urban Honolulu,5211,7644,11454,15244,9554,11857,15251,18607
Hawaii,HI,15,27980,Kahului-Wailuku,6181,9067,13585,18081,11331,14063,18089,22070
Idaho,ID,16,26820,Idaho Falls,4430,6498,9737,12959,8121,10079,12965,15818
Idaho,ID,16,38540,Pocatello,4463,6547,9810,13056,8183,10155,13062,15937
Idaho,ID,16,17660,Coeur d'Alene,4697,6890,10324,13740,8611,10687,13746,16771
